Month,Ridership
1/1/1991,1709
2/1/1991,1621
3/1/1991,1973
4/1/1991,1812
5/1/1991,1975
6/1/1991,1862
7/1/1991,1940
8/1/1991,2013
9/1/1991,1596
10/1/1991,1725
11/1/1991,1676
12/1/1991,1814
1/1/1992,1615
2/1/1992,1557
3/1/1992,1891
4/1/1992,1956
5/1/1992,1885
6/1/1992,1623
7/1/1992,1903
8/1/1992,1997
9/1/1992,1704
10/1/1992,1810
11/1/1992,1862
12/1/1992,1875
1/1/1993,1705
2/1/1993,1619
3/1/1993,1837
4/1/1993,1957
5/1/1993,1917
6/1/1993,1882
7/1/1993,1933
8/1/1993,1996
9/1/1993,1673
10/1/1993,1753
11/1/1993,1720
12/1/1993,1734
1/1/1994,1563
2/1/1994,1574
3/1/1994,1903
4/1/1994,1834
5/1/1994,1831
6/1/1994,1776
7/1/1994,1868
8/1/1994,1907
9/1/1994,1686
10/1/1994,1779
11/1/1994,1776
12/1/1994,1783
1/1/1995,1548
2/1/1995,1497
3/1/1995,1798
4/1/1995,1733
5/1/1995,1772
6/1/1995,1761
7/1/1995,1792
8/1/1995,1875
9/1/1995,1571
10/1/1995,1647
11/1/1995,1673
12/1/1995,1657
1/1/1996,1382
2/1/1996,1361
3/1/1996,1559
4/1/1996,1608
5/1/1996,1697
6/1/1996,1693
7/1/1996,1836
8/1/1996,1943
9/1/1996,1551
10/1/1996,1687
11/1/1996,1576
12/1/1996,1700
1/1/1997,1397
2/1/1997,1372
3/1/1997,1708
4/1/1997,1655
5/1/1997,1763
6/1/1997,1776
7/1/1997,1934
8/1/1997,2008
9/1/1997,1616
10/1/1997,1774
11/1/1997,1732
12/1/1997,1797
1/1/1998,1570
2/1/1998,1413
3/1/1998,1755
4/1/1998,1825
5/1/1998,1843
6/1/1998,1826
7/1/1998,1968
8/1/1998,1922
9/1/1998,1670
10/1/1998,1791
11/1/1998,1817
12/1/1998,1847
1/1/1999,1599
2/1/1999,1549
3/1/1999,1832
4/1/1999,1840
5/1/1999,1846
6/1/1999,1865
7/1/1999,1966
8/1/1999,1949
9/1/1999,1607
10/1/1999,1804
11/1/1999,1850
12/1/1999,1836
1/1/2000,1542
2/1/2000,1617
3/1/2000,1920
4/1/2000,1971
5/1/2000,1992
6/1/2000,2010
7/1/2000,2054
8/1/2000,2097
9/1/2000,1824
10/1/2000,1977
11/1/2000,1981
12/1/2000,2000
1/1/2001,1683
2/1/2001,1663
3/1/2001,2008
4/1/2001,2024
5/1/2001,2047
6/1/2001,2073
7/1/2001,2127
8/1/2001,2203
9/1/2001,1708
10/1/2001,1951
11/1/2001,1974
12/1/2001,1985
1/1/2002,1760
2/1/2002,1771
3/1/2002,2020
4/1/2002,2048
5/1/2002,2069
6/1/2002,1994
7/1/2002,2075
8/1/2002,2027
9/1/2002,1734
10/1/2002,1917
11/1/2002,1858
12/1/2002,1996
1/1/2003,1778
2/1/2003,1749
3/1/2003,2066
4/1/2003,2099
5/1/2003,2105
6/1/2003,2130
7/1/2003,2223
8/1/2003,2174
9/1/2003,1931
10/1/2003,2121
11/1/2003,2076
12/1/2003,2141
1/1/2004,1832
2/1/2004,1838
3/1/2004,2132
